Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,03/21/2004 02:30,Bangalore (India),,India,Cigar,A bar like object sighted in India which was in a stand still position illuminating light downwards on to ground.,05/22/2004,,
Open,02/13/2004 03:00,Mumbai,,India,Other,for Info. & Images http://vegaclub.com/Unknown.htm ((NUFORC Note: We recommend a visit to the URL indicated here! PD)),02/14/2005,,
Open,01/21/2004 20:15,Bilaspur (India),,India,Triangle,a ufo with bright light.,01/30/2004,,
Open,01-06-2004 19:55,Surat (India),,India,Disk,A bright show of A UFO>,01-06-2004,,
Open,12-02-2003 20:00,Cochin (India),,India,Unknown,The UFO I saw was very high up.At first I thought it was a star but when i looked closer I could make out that it was changing its colo,12-03-2003,,
Open,11/30/2003 02:00,Mumbai (India),,India,Oval,ufo seen in mumbai last fullmoon night,12-02-2003,,
Open,11/24/2003 17:50,Guwahati (India),,India,Light,2 objects in a ziz zag pattern crossing the clear evening sky over Guwahati state capital of Assam India,11/25/2003,,
Open,11/19/2003 00:48,Jaipur (India),,India,Oval,"A group of UFO's were seen, having no lights black and metallic lustre and no shine.",11/22/2003,,
Open,11-02-2003 17:00,Delhi (India),,India,Egg,the eeg shape thing moving with great velocity and glowing completely with white light following a rainbow path,11-02-2003,,
Open,10/28/2003 05:00,Malshej Ghat (India),,India,Fireball,UFOs Sighted in India,10/28/2003,,
Open,10-03-2003 02:30,New Delhi (India),,India,Cylinder,UFO SEEN OVER NEW DELHI (INDIA),10-03-2003,,
Open,09/27/2003 23:00,Kolkata (India),,India,Triangle,the objects moved at great speed but silently and quite low.they were clearly visible,09/30/2003,,
Open,08/30/2003 11:30,Jaipur (India),,India,Disk,"While in Jaipur, India I took a picture which I am emailing to you from atop the City Palace of the opposite hillside. When looking at",09/29/2003,,
Open,08/25/2003 00:15,Sirhind-Ambala (India),,India,Other,Strange symmetrical disk shaped lights,08/26/2003,,
Open,08-07-2003 21:30,"Yamuna Nagar, Haryana (India)",,India,Fireball,It was round fire ball like object was moving around its own place very fastly.,08-11-2003,,
Open,07/27/2003 21:30,"Yamuna Nagar, Haryana (India)",,India,Circle,Strange fire color object seen in sky!!!!!,08/28/2003,,
Open,05/19/2003 21:45,Chennai (India),,India,Other,"Dear Friends, this incident took place on the 19'th of May 2003 when me and my friend David had gone to one of our regular late evening",06-03-2003,,
Open,04/23/2003 06:00,Chandigarh (India),,India,Unknown,an unkown object with a long trail,04/23/2003,,
Open,02-12-2003 01:30,Calcutta (India),,India,Oval,Two shiny UFOS',06/25/2003,,
Open,10/28/2002 02:30,Calcutta (India),,India,Disk,UFO seen from roof.,11/26/2002,,
Open,09/20/2002 20:00,New Delhi (India),,India,Triangle,"UFO seen in Delhi,India",09/23/2002,,
Open,08/21/2002 01:00,,,India,Unknown,I am quoting this incidence from a newspaper. I did'nt see it personally. Just to let you guys. You can follow it in http://timesofindi,08/21/2002,,
Open,08/20/2002 22:00,Tiruvannamalai (India),,India,Circle,light in the sky !,08/31/2003,,
Open,08/17/2002 10:00,Lucknow (India),,India,Other,Refer News paper report as follows : http://timesofindia.indiatimes.com/articleshow.asp?artid=19397236,08/18/2002,,
Open,08-12-2002 18:30,Shabarimala (India),,India,Circle,Periodic occurance,09-07-2003,,
Open,08-12-2002 00:00,Uttar Pradesh (India),,India,Circle,"UFO hurts people in India, and authorities are talking about an ""insect"" or self-injury.",08-12-2002,,
Open,08-06-2002 22:30,Sandila (India),,India,Light,It scratches and gives electric shocks to the people sleeping in open area and flies with a high speed leaving a trail of light.,08-10-2002,,
Open,08-03-2002 00:00,Allahbad (India),,India,,"To Mr Peter Davenport, This is to bring to your notice certain strange experiences that have been happening in the state of Uttar Prade",08/13/2002,,
Open,07/29/2002 00:01,Uttar Pradesh (India),,India,Rectangle,"29th july 2002 uttarpradesh india,it was between 12-4 am when some villagers witnessed a glowing light in the night sky ,due to the ex",08-01-2002,,
Open,06/15/2002 00:00,Patna (India),,India,Circle,"mainly at night,one f.s has always came and hurtd the people.who sleeps at their houses's roof.we are very afraid for this type of devi",08-04-2002,,
Open,01-06-2002 12:00,Mumbai (India),,India,Triangle,"Kite shaped probe in the sky over Bombay, India",08/29/2007,,
Open,12-08-2001 03:46,Ludhiana (India),,India,Unknown,light looked like a shooting star,12-07-2001,,
Open,11/15/2001 19:15,Bangalore (India),,India,Unknown,"At the outset, I would like to make it clear that at the time of the sighting, I had scant knowledge of the internet (way back in 2001)",03-05-2010,,
Open,10/14/2001 22:00,Aurangabad (India),,India,Triangle,It resembles very closely to a delta formation photo on your website.,10/27/2002,,
Open,08/24/2001 04:15,Noida (India),,India,Circle,"it was bright like a star,and yes it was brighter than the other objects around",08/27/2001,,
Open,05/16/2001 00:30,Ahmedabad (India),,India,Sphere,Flaming UFO,06-09-2001,,
